Month,Type,Value,Year,Unit,Month_num
July,"West, Westfjords and Southwest to 2007",65.8,2001,Occupancy rate of rooms,7
July,Total,67.7,2001,Occupancy rate of beds,7
July,East,60.4,2001,Occupancy rate of beds,7
July,Capital region,70.3,2001,Occupancy rate of beds,7
July,North,74.4,2001,Occupancy rate of beds,7
July,South,63.2,2001,Occupancy rate of beds,7
July,"West, Westfjords and Southwest to 2007",56.2,2001,Occupancy rate of beds,7
August,Total,80.4,2001,Occupancy rate of rooms,8
August,East,68.5,2001,Occupancy rate of rooms,8
August,Capital region,87.6,2001,Occupancy rate of rooms,8
August,North,75.4,2001,Occupancy rate of rooms,8
August,South,73.6,2001,Occupancy rate of rooms,8
August,"West, Westfjords and Southwest to 2007",64.8,2001,Occupancy rate of rooms,8
August,Total,67.8,2001,Occupancy rate of beds,8
August,East,56.1,2001,Occupancy rate of beds,8
August,Capital region,73.9,2001,Occupancy rate of beds,8
August,North,66.9,2001,Occupancy rate of beds,8
August,South,62.0,2001,Occupancy rate of beds,8
August,"West, Westfjords and Southwest to 2007",52.3,2001,Occupancy rate of beds,8
September,Total,56.7,2001,Occupancy rate of rooms,9
September,East,50.6,2001,Occupancy rate of rooms,9
September,Capital region,72.6,2001,Occupancy rate of rooms,9
September,North,32.0,2001,Occupancy rate of rooms,9
September,South,33.6,2001,Occupancy rate of rooms,9
September,"West, Westfjords and Southwest to 2007",40.8,2001,Occupancy rate of rooms,9
September,Total,42.9,2001,Occupancy rate of beds,9
September,East,37.0,2001,Occupancy rate of beds,9
September,Capital region,54.7,2001,Occupancy rate of beds,9
September,North,25.9,2001,Occupancy rate of beds,9
September,South,25.8,2001,Occupancy rate of beds,9
September,"West, Westfjords and Southwest to 2007",31.7,2001,Occupancy rate of beds,9
October,Total,50.5,2001,Occupancy rate of rooms,10
October,East,26.4,2001,Occupancy rate of rooms,10
October,Capital region,68.1,2001,Occupancy rate of rooms,10
October,North,22.8,2001,Occupancy rate of rooms,10
October,South,25.4,2001,Occupancy rate of rooms,10
October,"West, Westfjords and Southwest to 2007",35.0,2001,Occupancy rate of rooms,10
October,Total,37.8,2001,Occupancy rate of beds,10
October,East,16.1,2001,Occupancy rate of beds,10
October,Capital region,51.3,2001,Occupancy rate of beds,10
October,North,17.3,2001,Occupancy rate of beds,10
October,South,19.4,2001,Occupancy rate of beds,10
