Month,Citizenship,Value,Year,Unit,Month_num
June,Foreigners,76593.0,2001,Overnight stays,6
July,Total,65691.0,2001,Arrivals,7
July,Icelanders,8579.0,2001,Arrivals,7
July,Foreigners,57112.0,2001,Arrivals,7
July,Total,109330.0,2001,Overnight stays,7
July,Icelanders,11768.0,2001,Overnight stays,7
July,Foreigners,97562.0,2001,Overnight stays,7
August,Total,61342.0,2001,Arrivals,8
August,Icelanders,7256.0,2001,Arrivals,8
August,Foreigners,54086.0,2001,Arrivals,8
August,Total,108903.0,2001,Overnight stays,8
August,Icelanders,10118.0,2001,Overnight stays,8
August,Foreigners,98785.0,2001,Overnight stays,8
September,Total,29755.0,2001,Arrivals,9
September,Icelanders,7378.0,2001,Arrivals,9
September,Foreigners,22377.0,2001,Arrivals,9
September,Total,65667.0,2001,Overnight stays,9
September,Icelanders,11185.0,2001,Overnight stays,9
September,Foreigners,54482.0,2001,Overnight stays,9
October,Total,24351.0,2001,Arrivals,10
October,Icelanders,8903.0,2001,Arrivals,10
October,Foreigners,15448.0,2001,Arrivals,10
October,Total,59247.0,2001,Overnight stays,10
October,Icelanders,14106.0,2001,Overnight stays,10
October,Foreigners,45141.0,2001,Overnight stays,10
November,Total,20924.0,2001,Arrivals,11
November,Icelanders,8862.0,2001,Arrivals,11
November,Foreigners,12062.0,2001,Arrivals,11
November,Total,45668.0,2001,Overnight stays,11
November,Icelanders,13394.0,2001,Overnight stays,11
November,Foreigners,32274.0,2001,Overnight stays,11
December,Total,13829.0,2001,Arrivals,12
December,Icelanders,5225.0,2001,Arrivals,12
December,Foreigners,8604.0,2001,Arrivals,12
December,Total,32541.0,2001,Overnight stays,12
December,Icelanders,7263.0,2001,Overnight stays,12
December,Foreigners,25278.0,2001,Overnight stays,12
January,Total,13777.0,2002,Arrivals,1
January,Icelanders,5744.0,2002,Arrivals,1
January,Foreigners,8033.0,2002,Arrivals,1
January,Total,31401.0,2002,Overnight stays,1
January,Icelanders,8912.0,2002,Overnight stays,1
January,Foreigners,22489.0,2002,Overnight stays,1
February,Total,20413.0,2002,Arrivals,2
February,Icelanders,8741.0,2002,Arrivals,2
February,Foreigners,11672.0,2002,Arrivals,2
February,Total,47077.0,2002,Overnight stays,2
February,Icelanders,14096.0,2002,Overnight stays,2
February,Foreigners,32981.0,2002,Overnight stays,2
March,Total,25480.0,2002,Arrivals,3
March,Icelanders,10134.0,2002,Arrivals,3
March,Foreigners,15346.0,2002,Arrivals,3
March,Total,62922.0,2002,Overnight stays,3
March,Icelanders,19293.0,2002,Overnight stays,3
March,Foreigners,43629.0,2002,Overnight stays,3
April,Total,26334.0,2002,Arrivals,4
April,Icelanders,10713.0,2002,Arrivals,4
April,Foreigners,15621.0,2002,Arrivals,4
April,Total,58361.0,2002,Overnight stays,4
April,Icelanders,17752.0,2002,Overnight stays,4
April,Foreigners,40609.0,2002,Overnight stays,4
May,Total,31728.0,2002,Arrivals,5
May,Icelanders,9146.0,2002,Arrivals,5
May,Foreigners,22582.0,2002,Arrivals,5
May,Total,69581.0,2002,Overnight stays,5
May,Icelanders,14019.0,2002,Overnight stays,5
May,Foreigners,55562.0,2002,Overnight stays,5
June,Total,48555.0,2002,Arrivals,6
June,Icelanders,7764.0,2002,Arrivals,6
June,Foreigners,40791.0,2002,Arrivals,6
June,Total,97869.0,2002,Overnight stays,6
June,Icelanders,12662.0,2002,Overnight stays,6
June,Foreigners,85207.0,2002,Overnight stays,6
July,Total,69747.0,2002,Arrivals,7
July,Icelanders,7753.0,2002,Arrivals,7
July,Foreigners,61994.0,2002,Arrivals,7
July,Total,118995.0,2002,Overnight stays,7
July,Icelanders,11194.0,2002,Overnight stays,7
July,Foreigners,107801.0,2002,Overnight stays,7
August,Total,63461.0,2002,Arrivals,8
August,Icelanders,7912.0,2002,Arrivals,8
August,Foreigners,55549.0,2002,Arrivals,8
August,Total,112953.0,2002,Overnight stays,8
August,Icelanders,11325.0,2002,Overnight stays,8
August,Foreigners,101628.0,2002,Overnight stays,8
September,Total,34173.0,2002,Arrivals,9
September,Icelanders,7908.0,2002,Arrivals,9
September,Foreigners,26265.0,2002,Arrivals,9
