Country,YearMonth,Passengers,Year,Month_num,Month
U.S.A.,2003M06,5943.0,2003,6,June
U.K.,2003M06,4734.0,2003,6,June
Denmark,2003M06,2955.0,2003,6,June
Finland,2003M06,644.0,2003,6,June
France,2003M06,2803.0,2003,6,June
Netherlands,2003M06,1083.0,2003,6,June
Italy,2003M06,748.0,2003,6,June
Japan,2003M06,262.0,2003,6,June
Canada,2003M06,339.0,2003,6,June
Norway,2003M06,2501.0,2003,6,June
Spain,2003M06,615.0,2003,6,June
Switzherland,2003M06,650.0,2003,6,June
Sweden,2003M06,2380.0,2003,6,June
Germany,2003M06,5142.0,2003,6,June
Other Countries,2003M06,3714.0,2003,6,June
Total Passengers,2003M07,87639.0,2003,7,July
Iceland,2003M07,35032.0,2003,7,July
Foreigners,2003M07,52607.0,2003,7,July
U.S.A.,2003M07,6232.0,2003,7,July
U.K.,2003M07,6826.0,2003,7,July
Denmark,2003M07,4918.0,2003,7,July
Finland,2003M07,845.0,2003,7,July
France,2003M07,4870.0,2003,7,July
Netherlands,2003M07,1965.0,2003,7,July
Italy,2003M07,1939.0,2003,7,July
Japan,2003M07,526.0,2003,7,July
Canada,2003M07,281.0,2003,7,July
Norway,2003M07,2573.0,2003,7,July
Spain,2003M07,1006.0,2003,7,July
Switzherland,2003M07,2095.0,2003,7,July
Sweden,2003M07,2739.0,2003,7,July
Germany,2003M07,9576.0,2003,7,July
Other Countries,2003M07,6216.0,2003,7,July
Total Passengers,2003M08,88150.0,2003,8,August
Iceland,2003M08,29387.0,2003,8,August
Foreigners,2003M08,58763.0,2003,8,August
U.S.A.,2003M08,6454.0,2003,8,August
U.K.,2003M08,7270.0,2003,8,August
Denmark,2003M08,3156.0,2003,8,August
Finland,2003M08,925.0,2003,8,August
France,2003M08,5908.0,2003,8,August
Netherlands,2003M08,2161.0,2003,8,August
Italy,2003M08,4255.0,2003,8,August
Japan,2003M08,723.0,2003,8,August
Canada,2003M08,496.0,2003,8,August
Norway,2003M08,3015.0,2003,8,August
Spain,2003M08,1988.0,2003,8,August
Switzherland,2003M08,2275.0,2003,8,August
Sweden,2003M08,3560.0,2003,8,August
Germany,2003M08,9959.0,2003,8,August
Other Countries,2003M08,6618.0,2003,8,August
Total Passengers,2003M09,54228.0,2003,9,September
Iceland,2003M09,25170.0,2003,9,September
Foreigners,2003M09,29058.0,2003,9,September
U.S.A.,2003M09,4554.0,2003,9,September
U.K.,2003M09,4179.0,2003,9,September
Denmark,2003M09,2561.0,2003,9,September
Finland,2003M09,715.0,2003,9,September
France,2003M09,1487.0,2003,9,September
Netherlands,2003M09,844.0,2003,9,September
Italy,2003M09,546.0,2003,9,September
Japan,2003M09,388.0,2003,9,September
Canada,2003M09,310.0,2003,9,September
Norway,2003M09,2331.0,2003,9,September
Spain,2003M09,481.0,2003,9,September
Switzherland,2003M09,324.0,2003,9,September
Sweden,2003M09,2665.0,2003,9,September
Germany,2003M09,4544.0,2003,9,September
Other Countries,2003M09,3129.0,2003,9,September
Total Passengers,2003M10,51657.0,2003,10,October
Iceland,2003M10,29125.0,2003,10,October
Foreigners,2003M10,22532.0,2003,10,October
U.S.A.,2003M10,3528.0,2003,10,October
U.K.,2003M10,4143.0,2003,10,October
Denmark,2003M10,2031.0,2003,10,October
Finland,2003M10,951.0,2003,10,October
France,2003M10,532.0,2003,10,October
Netherlands,2003M10,640.0,2003,10,October
Italy,2003M10,166.0,2003,10,October
Japan,2003M10,875.0,2003,10,October
Canada,2003M10,221.0,2003,10,October
Norway,2003M10,2631.0,2003,10,October
Spain,2003M10,134.0,2003,10,October
Switzherland,2003M10,125.0,2003,10,October
Sweden,2003M10,2602.0,2003,10,October
Germany,2003M10,1251.0,2003,10,October
Other Countries,2003M10,2702.0,2003,10,October
Total Passengers,2003M11,37281.0,2003,11,November
Iceland,2003M11,22145.0,2003,11,November
Foreigners,2003M11,15136.0,2003,11,November
U.S.A.,2003M11,2779.0,2003,11,November
U.K.,2003M11,3363.0,2003,11,November
Denmark,2003M11,1349.0,2003,11,November
Finland,2003M11,270.0,2003,11,November
France,2003M11,288.0,2003,11,November
Netherlands,2003M11,391.0,2003,11,November
Italy,2003M11,166.0,2003,11,November
